2024-10-29 08:41:49,071: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.2, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n02')
2024-10-29 08:41:49,168: Number of GPUs available: 8
2024-10-29 08:41:50,445: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 08:41:50,445: positive weight: 36.9080
2024-10-29 09:06:47,982: Step [320/699], Loss D: 0.3224, Loss G: -0.3129
2024-10-29 09:06:51,247: Step [340/699], Loss D: 0.4905, Loss G: -0.2764
2024-10-29 09:06:54,637: Step [360/699], Loss D: 0.3753, Loss G: -0.2251
2024-10-29 09:06:57,984: Step [380/699], Loss D: 0.4148, Loss G: 0.2799
2024-10-29 09:07:01,224: Step [400/699], Loss D: 0.2081, Loss G: 0.5237
2024-10-29 09:07:04,625: Step [420/699], Loss D: 0.3114, Loss G: -0.1954
2024-10-29 09:07:07,981: Step [440/699], Loss D: 0.3491, Loss G: -0.4342
2024-10-29 09:07:11,298: Step [460/699], Loss D: 0.2872, Loss G: 0.2520
2024-10-29 09:07:14,579: Step [480/699], Loss D: 0.3199, Loss G: 0.0391
2024-10-29 09:07:17,808: Step [500/699], Loss D: 0.2796, Loss G: -0.4791
2024-10-29 09:07:21,103: Step [520/699], Loss D: 0.4466, Loss G: -0.2240
2024-10-29 09:07:24,333: Step [540/699], Loss D: 0.2351, Loss G: 0.1003
2024-10-29 09:07:27,623: Step [560/699], Loss D: 0.1877, Loss G: -0.2882
2024-10-29 09:07:30,913: Step [580/699], Loss D: 0.3234, Loss G: -0.1456
2024-10-29 09:07:34,189: Step [600/699], Loss D: 0.4976, Loss G: -0.2457
2024-10-29 09:07:37,513: Step [620/699], Loss D: 0.1470, Loss G: 0.0456
2024-10-29 09:07:40,767: Step [640/699], Loss D: 0.3224, Loss G: -0.2028
2024-10-29 09:07:44,168: Step [660/699], Loss D: 0.6627, Loss G: -0.1046
2024-10-29 09:07:47,521: Step [680/699], Loss D: 0.6703, Loss G: -0.3343
2024-10-29 09:08:08,830: Test Loss: 0.7065, Accuracy: 0.7137
2024-10-29 09:08:08,830: DP:0.01, EO:0.25
2024-10-29 09:08:25,442: Step [20/699], Loss D: 0.2623, Loss G: -0.1537
2024-10-29 09:08:29,072: Step [40/699], Loss D: 0.3548, Loss G: -0.0400
2024-10-29 09:08:32,726: Step [60/699], Loss D: 0.2620, Loss G: -0.4003
2024-10-29 09:08:36,297: Step [80/699], Loss D: 1.2078, Loss G: -0.3046
2024-10-29 09:08:39,743: Step [100/699], Loss D: 0.4771, Loss G: -0.2002
2024-10-29 09:08:43,267: Step [120/699], Loss D: 0.3037, Loss G: 0.2309
2024-10-29 09:08:46,779: Step [140/699], Loss D: 0.3975, Loss G: 0.0255
2024-10-29 09:08:50,216: Step [160/699], Loss D: 0.4350, Loss G: 0.3423
2024-10-29 09:08:53,717: Step [180/699], Loss D: 0.3688, Loss G: -0.0314
2024-10-29 09:08:57,020: Step [200/699], Loss D: 0.4782, Loss G: -0.1069
2024-10-29 09:09:00,359: Step [220/699], Loss D: 0.2272, Loss G: 0.0542
2024-10-29 09:09:03,804: Step [240/699], Loss D: 0.6460, Loss G: 0.4773
2024-10-29 09:09:07,247: Step [260/699], Loss D: 0.2377, Loss G: -0.0037
2024-10-29 09:09:10,589: Step [280/699], Loss D: 0.3581, Loss G: -0.5547
2024-10-29 09:09:13,874: Step [300/699], Loss D: 0.3842, Loss G: -0.1882
2024-10-29 09:09:17,221: Step [320/699], Loss D: 0.3324, Loss G: -0.3481
2024-10-29 09:09:20,625: Step [340/699], Loss D: 0.2692, Loss G: -0.1863
2024-10-29 09:09:23,884: Step [360/699], Loss D: 0.3016, Loss G: -0.1082
2024-10-29 09:09:27,327: Step [380/699], Loss D: 0.4011, Loss G: 0.0474
2024-10-29 09:09:30,698: Step [400/699], Loss D: 0.3252, Loss G: -0.0869
2024-10-29 09:09:33,978: Step [420/699], Loss D: 0.1846, Loss G: -0.1798
2024-10-29 09:09:37,346: Step [440/699], Loss D: 0.2610, Loss G: -0.2853
2024-10-29 09:09:40,714: Step [460/699], Loss D: 0.4571, Loss G: -0.0903
2024-10-29 09:09:44,162: Step [480/699], Loss D: 0.2908, Loss G: -0.1149
2024-10-29 09:09:47,546: Step [500/699], Loss D: 0.4026, Loss G: 0.2146
2024-10-29 09:09:50,848: Step [520/699], Loss D: 0.3626, Loss G: -0.0816
2024-10-29 09:09:54,227: Step [540/699], Loss D: 0.2283, Loss G: -0.3172
2024-10-29 09:09:57,586: Step [560/699], Loss D: 0.2647, Loss G: -0.3184
2024-10-29 09:10:00,885: Step [580/699], Loss D: 0.2314, Loss G: 0.2430
2024-10-29 09:10:04,209: Step [600/699], Loss D: 0.1981, Loss G: -0.7994
2024-10-29 09:10:07,531: Step [620/699], Loss D: 0.3349, Loss G: -0.3509
2024-10-29 09:10:11,012: Step [640/699], Loss D: 0.4183, Loss G: -0.0425
2024-10-29 09:10:14,530: Step [660/699], Loss D: 0.5792, Loss G: 0.2119
2024-10-29 09:10:17,986: Step [680/699], Loss D: 0.2373, Loss G: -0.4335
2024-10-29 09:10:40,474: Test Loss: 0.6811, Accuracy: 0.7051
2024-10-29 09:10:40,475: DP:0.06, EO:0.00
2024-10-29 09:10:57,094: Step [20/699], Loss D: 0.3345, Loss G: 0.1137
2024-10-29 09:11:00,534: Step [40/699], Loss D: 0.2369, Loss G: 0.1003
2024-10-29 09:11:04,063: Step [60/699], Loss D: 0.3742, Loss G: 0.2944
2024-10-29 09:11:07,393: Step [80/699], Loss D: 0.3139, Loss G: -0.1692
2024-10-29 09:11:10,769: Step [100/699], Loss D: 0.3255, Loss G: -0.1515
2024-10-29 09:11:14,064: Step [120/699], Loss D: 0.2997, Loss G: -0.1576
2024-10-29 09:11:17,399: Step [140/699], Loss D: 0.5565, Loss G: 0.3349
2024-10-29 09:11:20,728: Step [160/699], Loss D: 0.4539, Loss G: -0.1956
2024-10-29 09:11:24,057: Step [180/699], Loss D: 0.3234, Loss G: -0.1159
2024-10-29 09:11:27,343: Step [200/699], Loss D: 0.4288, Loss G: -0.3738
2024-10-29 09:11:30,689: Step [220/699], Loss D: 0.1629, Loss G: -0.2431
2024-10-29 09:11:34,080: Step [240/699], Loss D: 0.2240, Loss G: 0.2807
2024-10-29 09:11:37,427: Step [260/699], Loss D: 0.3693, Loss G: 0.5628
2024-10-29 09:11:40,778: Step [280/699], Loss D: 0.3861, Loss G: -0.1482
2024-10-29 09:11:44,134: Step [300/699], Loss D: 0.5750, Loss G: -0.2156
2024-10-29 09:11:47,473: Step [320/699], Loss D: 0.4583, Loss G: -0.0537
2024-10-29 09:11:50,720: Step [340/699], Loss D: 0.3145, Loss G: -0.1295
2024-10-29 09:11:54,030: Step [360/699], Loss D: 0.3075, Loss G: -0.0038
2024-10-29 09:11:57,274: Step [380/699], Loss D: 0.1327, Loss G: 0.1688
2024-10-29 09:12:00,584: Step [400/699], Loss D: 0.3157, Loss G: 0.0901
2024-10-29 09:12:03,867: Step [420/699], Loss D: 0.2778, Loss G: 0.1965
2024-10-29 09:12:07,093: Step [440/699], Loss D: 0.2884, Loss G: -0.1821
2024-10-29 09:12:10,412: Step [460/699], Loss D: 0.2811, Loss G: -0.2126
2024-10-29 09:12:13,639: Step [480/699], Loss D: 0.3595, Loss G: 0.0678
2024-10-29 09:12:16,996: Step [500/699], Loss D: 0.3668, Loss G: 0.3583
2024-10-29 09:12:20,445: Step [520/699], Loss D: 0.2512, Loss G: 0.3834
2024-10-29 09:12:24,182: Step [540/699], Loss D: 0.3267, Loss G: -0.2486
2024-10-29 09:12:27,679: Step [560/699], Loss D: 0.2754, Loss G: -0.0284
2024-10-29 09:12:30,984: Step [580/699], Loss D: 0.4037, Loss G: -0.0204
2024-10-29 09:12:34,313: Step [600/699], Loss D: 0.2053, Loss G: 0.2124
2024-10-29 09:12:37,627: Step [620/699], Loss D: 0.3511, Loss G: 0.1503
2024-10-29 09:12:40,890: Step [640/699], Loss D: 0.2342, Loss G: -0.4336
2024-10-29 09:12:44,220: Step [660/699], Loss D: 0.4496, Loss G: 0.3325
2024-10-29 09:12:47,447: Step [680/699], Loss D: 0.3909, Loss G: 0.1734
2024-10-29 09:13:09,392: Test Loss: 0.6931, Accuracy: 0.6496
2024-10-29 09:13:09,392: DP:0.06, EO:0.00
2024-10-29 09:13:25,775: Step [20/699], Loss D: 0.1234, Loss G: 0.0395
