2024-10-29 11:00:54,344: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.3, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n03')
2024-10-29 11:00:54,443: Number of GPUs available: 8
2024-10-29 11:00:55,733: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 11:00:55,734: positive weight: 36.9080
2024-10-29 11:28:51,841: Step [440/699], Loss D: 0.5289, Loss G: -0.1023
2024-10-29 11:28:55,610: Step [460/699], Loss D: 0.3998, Loss G: -0.3428
2024-10-29 11:28:59,513: Step [480/699], Loss D: 0.4723, Loss G: 0.1376
2024-10-29 11:29:04,062: Step [500/699], Loss D: 0.2947, Loss G: -0.3130
2024-10-29 11:29:08,577: Step [520/699], Loss D: 0.3784, Loss G: 0.3003
2024-10-29 11:29:13,186: Step [540/699], Loss D: 0.4299, Loss G: -0.0684
2024-10-29 11:29:17,667: Step [560/699], Loss D: 0.2908, Loss G: 0.0894
2024-10-29 11:29:22,077: Step [580/699], Loss D: 0.3429, Loss G: 0.0971
2024-10-29 11:29:26,634: Step [600/699], Loss D: 0.3781, Loss G: -0.3166
2024-10-29 11:29:31,081: Step [620/699], Loss D: 0.5112, Loss G: -0.0958
2024-10-29 11:29:35,594: Step [640/699], Loss D: 0.4026, Loss G: -0.4531
2024-10-29 11:29:40,246: Step [660/699], Loss D: 0.4099, Loss G: 0.0248
2024-10-29 11:29:44,723: Step [680/699], Loss D: 0.4791, Loss G: -0.1346
2024-10-29 11:30:26,351: Test Loss: 0.8311, Accuracy: 0.6538, F1: 0.0000, AUC: 0.3191
2024-10-29 11:30:26,351: DP:0.09, EO:0.00
2024-10-29 11:31:01,371: Step [20/699], Loss D: 0.3699, Loss G: -0.0223
2024-10-29 11:31:06,249: Step [40/699], Loss D: 0.5002, Loss G: -0.1578
2024-10-29 11:31:10,787: Step [60/699], Loss D: 0.5348, Loss G: -0.2115
2024-10-29 11:31:15,111: Step [80/699], Loss D: 0.4020, Loss G: 0.3713
2024-10-29 11:31:19,507: Step [100/699], Loss D: 0.2357, Loss G: -0.5912
2024-10-29 11:31:23,847: Step [120/699], Loss D: 0.5176, Loss G: -0.1686
2024-10-29 11:31:28,295: Step [140/699], Loss D: 0.2812, Loss G: -0.0912
2024-10-29 11:31:32,704: Step [160/699], Loss D: 0.5929, Loss G: -0.2212
2024-10-29 11:31:37,150: Step [180/699], Loss D: 0.4080, Loss G: -0.4198
2024-10-29 11:31:41,565: Step [200/699], Loss D: 0.3165, Loss G: 0.4429
2024-10-29 11:31:46,035: Step [220/699], Loss D: 0.4873, Loss G: -0.0907
2024-10-29 11:31:50,506: Step [240/699], Loss D: 0.2950, Loss G: -0.3877
2024-10-29 11:31:54,987: Step [260/699], Loss D: 0.4695, Loss G: -0.0186
